"","Income","Start","End","M","P","M","O","Att","Prop","#","Amount"
"23 Feb 2025","+0.00208 ETH","32.01653 ETH","32.01861 ETH","0","0","0","0","0","0","0","0 ETH"
"22 Feb 2025","+0.00208 ETH","32.01444 ETH","32.01652 ETH","0","0","0","0","0","0","0","0 ETH"
"21 Feb 2025","+0.00207 ETH","32.01237 ETH","32.01444 ETH","0","0","0","0","0","0","0","0 ETH"
"20 Feb 2025","+0.00209 ETH","32.01028 ETH","32.01236 ETH","0","0","0","0","0","0","0","0 ETH"
"19 Feb 2025","+0.00209 ETH","32.00819 ETH","32.01027 ETH","0","0","0","0","0","0","0","0 ETH"
"18 Feb 2025","+0.00208 ETH","32.0061 ETH","32.00818 ETH","0","0","0","0","0","0","0","0 ETH"
"17 Feb 2025","+0.00208 ETH","32.00402 ETH","32.00609 ETH","0","0","0","0","0","0","0","0 ETH"
"16 Feb 2025","+0.00208 ETH","32.00193 ETH","32.00401 ETH","0","0","0","0","0","0","0","0 ETH"
"15 Feb 2025","+0.00208 ETH","32.01913 ETH","32.00192 ETH","0","0","0","0","0","0","0","0 ETH"
"14 Feb 2025","+0.00208 ETH","32.01705 ETH","32.01913 ETH","0","0","0","0","0","0","0","0 ETH"
"13 Feb 2025","+0.00208 ETH","32.01496 ETH","32.01704 ETH","0","0","0","0","0","0","0","0 ETH"
"12 Feb 2025","+0.00209 ETH","32.01287 ETH","32.01495 ETH","0","0","0","0","0","0","0","0 ETH"
"11 Feb 2025","+0.00208 ETH","32.01079 ETH","32.01286 ETH","0","0","0","0","0","0","0","0 ETH"
"10 Feb 2025","+0.00209 ETH","32.0087 ETH","32.01078 ETH","0","0","0","0","0","0","0","0 ETH"
"09 Feb 2025","+0.00209 ETH","32.0066 ETH","32.00869 ETH","0","0","0","0","0","0","0","0 ETH"
"08 Feb 2025","+0.00208 ETH","32.00451 ETH","32.00659 ETH","0","0","0","0","0","0","0","0 ETH"
"07 Feb 2025","+0.00207 ETH","32.00242 ETH","32.00451 ETH","0","0","0","0","0","0","0","0 ETH"
"06 Feb 2025","+0.00208 ETH","32.00035 ETH","32.00243 ETH","0","0","0","0","0","0","0","0 ETH"
"05 Feb 2025","+0.00208 ETH","32.01762 ETH","32.00034 ETH","0","0","0","0","0","0","0","0 ETH"
"04 Feb 2025","+0.00208 ETH","32.01554 ETH","32.01761 ETH","0","0","0","0","0","0","0","0 ETH"
"03 Feb 2025","+0.00209 ETH","32.01345 ETH","32.01553 ETH","0","0","0","0","0","0","0","0 ETH"
"02 Feb 2025","+0.00209 ETH","32.01135 ETH","32.01344 ETH","0","0","0","0","0","0","0","0 ETH"
"01 Feb 2025","+0.00208 ETH","32.00927 ETH","32.01134 ETH","0","0","0","0","0","0","0","0 ETH"
"31 Jan 2025","+0.00208 ETH","32.00718 ETH","32.00926 ETH","0","0","0","0","0","0","0","0 ETH"
"30 Jan 2025","+0.00208 ETH","32.0051 ETH","32.00717 ETH","0","0","0","0","0","0","0","0 ETH"
"29 Jan 2025","+0.00209 ETH","32.003 ETH","32.00509 ETH","0","0","0","0","0","0","0","0 ETH"
"28 Jan 2025","+0.00209 ETH","32.00091 ETH","32.00299 ETH","0","0","0","0","0","0","0","0 ETH"
"27 Jan 2025","+0.00209 ETH","32.01823 ETH","32.0009 ETH","0","0","0","0","0","0","0","0 ETH"
"26 Jan 2025","+0.00209 ETH","32.01613 ETH","32.01822 ETH","0","0","0","0","0","0","0","0 ETH"
"25 Jan 2025","+0.00208 ETH","32.01404 ETH","32.01612 ETH","0","0","0","0","0","0","0","0 ETH"
"24 Jan 2025","+0.00206 ETH","32.01198 ETH","32.01404 ETH","0","0","0","0","0","0","0","0 ETH"
"23 Jan 2025","+0.00209 ETH","32.00988 ETH","32.01197 ETH","0","0","0","0","0","0","0","0 ETH"
"22 Jan 2025","+0.00209 ETH","32.00779 ETH","32.00987 ETH","0","0","0","0","0","0","0","0 ETH"
"21 Jan 2025","+0.00209 ETH","32.00569 ETH","32.00778 ETH","0","0","0","0","0","0","0","0 ETH"
"20 Jan 2025","+0.00208 ETH","32.00361 ETH","32.00568 ETH","0","0","0","0","0","0","0","0 ETH"
"19 Jan 2025","+0.00208 ETH","32.00152 ETH","32.0036 ETH","0","0","0","0","0","0","0","0 ETH"
"18 Jan 2025","+0.00208 ETH","32.0188 ETH","32.00151 ETH","0","0","0","0","0","0","0","0 ETH"
"17 Jan 2025","+0.00208 ETH","32.01671 ETH","32.01879 ETH","0","0","0","0","0","0","0","0 ETH"
"16 Jan 2025","+0.00208 ETH","32.01462 ETH","32.0167 ETH","0","0","0","0","0","0","0","0 ETH"
"15 Jan 2025","+0.00209 ETH","32.01253 ETH","32.01461 ETH","0","0","0","0","0","0","0","0 ETH"
"14 Jan 2025","+0.00208 ETH","32.01045 ETH","32.01252 ETH","0","0","0","0","0","0","0","0 ETH"
"13 Jan 2025","+0.00208 ETH","32.00836 ETH","32.01044 ETH","0","0","0","0","0","0","0","0 ETH"
"12 Jan 2025","+0.00208 ETH","32.00628 ETH","32.00835 ETH","0","0","0","0","0","0","0","0 ETH"
